FECHA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24;TOTAL
8/10/2021;0;0;0,11;0;0;0,01;0;0,01;0;0;0;0;0;0,08;0,48;0;0,01;0;0;0;0;0;0;0;0,7
9/10/2021;0;0,01;0;0;0;0;0,07;0,05;0;0,01;0;0,02;0,86;0,22;0,47;0,17;0;0;0;0;0;0;0;0;1,88
10/10/2021;0;0;0;0;0;0;0,07;0,16;0;0,62;0,53;0,22;0,33;0,63;0,18;0,05;0,01;0;0;0;0;0;0;0;2,8
11/10/2021;0;0,01;0;0;0;0;0,15;0,04;0,01;0;0;0,13;0,02;0,06;0,04;0,01;0,01;0;0;0,01;0;0;0;0;0,49
12/10/2021;0;0;0;0;0;0;0;0,02;0,26;0;0;0,73;0,08;0,59;0,09;0,1;0,01;0;0;0;0;0,01;0;0;1,89
13/10/2021;0;0;0;0;0,01;0;0;0;0,02;0;0;0,01;0,08;0,94;1,37;0,11;0,01;0;0;0;0;0;0;0;2,55
14/10/2021;0;0;0;0;0;0;0,07;0;0,51;0,56;0;0;0;0,13;0,57;0,07;0;0;0;0;0;0;0;0;1,91
15/10/2021;0;0,01;0;0;0;0;0,01;0,01;0;0,04;0,04;0,04;0,04;0,02;0;0;0;0;0;0;0;0;0;0;0,21
16/10/2021;0;0;0;0;0;0;0;0,01;0;0;0,01;0,05;0;0,49;0,18;0,03;0;0,04;0;0,01;0,02;0,01;0;0;0,85
17/10/2021;0;0;0;0;0;0;0;0,04;0,01;0,85;0,42;0,44;0,05;0,14;0,07;0,01;0,02;0,06;0;0;0;0;0;0;2,11
18/10/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19/10/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20/10/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21/10/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
